"file_ref"	"name"	"addr1"	"addr2"	"addr3"	"addr4"	"addr5"	"c_o"	
"GBC 117/98"	"WAH CHEONG BUILDING CONSTRUCTION CO."	"Room 602, 6/F.,"	"Golden House,"	"28-30 Pottinger Street,"	"Central, Hong Kong."	""	""	
"GBC 117/99"	"PO HSING CONST CO LTD"	"Unit 1912, 19/F.,"	"Grandtech Centre,"	"8 On Ping Street,"	"Shatin, New Territories."	""	""	
"GBC 118/98"	"SING FAT CONSTRUCTION CO LTD"	"23/F.,"	"China United Plaza,"	"1008 Tai Nan West Street,"	"Kowloon."	""	""	
"GBC 118/99"	"Leighton Foundation Engineering Ltd."	"39th Flloor"	"Sun Hung Kai Centre"	"30 Harbour Road"	"Wan Chai, Hong Kong"	""	""	
"GBC 119/98"	"SINOWAY CONSTRUCTION ENGINEERING LIMITED"	"Unit B, 18/F.,"	"Tung Chiu Commercial Centre,"	"193 Lockhart Road,"	"Wanchai, Hong Kong."	""	""	
"GBC 119/99"	"Lai Lap Foundation Engineering Ltd."	"39th Floor,"	"Sun Hung Kai Centre,"	"30 Harbour Road,"	"Wan Chai, Hong Kong."	""	""	
"GBC 12/2000"	"Adrian Engineering Limited"	"Unit 1006, 10th Floor,"	"Kwai Cheong Centre,"	"No. 50 Kwai Cheong Road,"	"Kwai Chung,"	"New Territories."	""	
"GBC 12/2001"	"TAPBO CONSTRUCTION COMPANY LIMITED"	"Unit 2, 12th Floor,"	"Yee Kuk Industrial Centre,"	"555 Yee Kuk Street,"	"Cheung Sha Wan, Kowloon."	""	""	
"GBC 12/2002"	"Polly Engineering Co."	"Room 1204, 12/f.,"	"Yee Kuk Industrial Centre,"	"555 Yee Kuk Street,"	"Kowloon."	""	""	
"GBC 12/2003"	"Comway Contracting (Hong Kong) Ltd."	"Room 1003, 10th Floor,"	"Cli Building,"	"313 Hennessy Road,"	"Wanchai, Hong Kong."	""	""	
"GBC 12/2004"	"HON FUNG ENGINEERING LIMITED"	"Unit 305, 3/F.,"	"International Plaza,"	"20 Sheung Yuet Road,"	"Kowloon Bay, Kowloon."	""	""	
"GBC 12/2005"	"WAH CHEUK CONSTRUCTION COMPANY LIMITED"	"2/F.,"	"Lee Fat Building,"	"38 Bute Street,"	"Mong Kok, Kowloon."	""	""	
"GBC 12/2006"	"WING SANG (TOP BRIGHT) CONSTRUCTION COMPANY LIMITED"	"18/F., Loon Kee Building,"	"267-275 Des Voeux Road Central,"	"Hong Kong."	""	""	""	
"GBC 12/2007"	"PING KAI ENGINEERING CO., LTD."	"Room 7, Block B, 9/F.,"	"Goodview Industrial Building,"	"11 Kin Fat Street,"	"Tuen Mun, New Territories."	""	""	
"GBC 12/2008"	"Forward Construction Company"	"Block Z, 2/F.,"	"Fu Hing Garden,"	"88 Sheung Che,"	"DD111 Lot 731C1, Pat Heung,"	"Yuen Long, New Territories."	""	
"GBC 12/2009"	"WORTHING CONSTRUCTION COMPANY LIMITED"	"Room 1611, 16/F.,"	"Eastern Harbour Centre,"	"28 Hoi Chak Street,"	"Quarry Bay, Hong Kong."	""	""	
"GBC 12/2010"	"WOO HING COMPANY"	"Units 358-360, Block 2,"	"Yip On Factory Estate,"	"Kowloon Bay, Kowloon."	""	""	""	
"GBC 12/2011"	"GENETRON ENGINEERING COMPANY LIMITED"	"Room 1161, 11th Floor,"	"Kowloonbay International Trade"	"& Exhibition Centre, 1 Trademart Drive,"	"Kowloon Bay, Kowloon."	""	""	
"GBC 12/2012"	"B. P. (BUILDING & ENGINEERING) CO., LIMITED"	"Unit 213, 2/F.,"	"Favor Industrial Centre,"	"2-6 Kin Hong Street,"	"Kwai Chung, New Territories"	""	""	
"GBC 12/2013"	"CHI SHING BUILDING AND CONSTRUCTION LIMITED"	"Flat D, 12/F.,"	"Mai Shun Industrial Building,"	"18-24 Kwai Cheong Road,"	"Kwai Chung, New Territories."	""	""	
"GBC 12/2014"	"PO KA CONSTRUCTION LIMITED"	"Room 10B, 13/F.,"	"Well Fung Industrial Centre,"	"68 Ta Chuen Ping Street,"	"Kwai Chung, New Territories."	""	""	
"GBC 12/2015"	"KENTS CONSTRUCTION & ENGINEERING COMPANY LIMITED"	"Room 206-207, 2/F.,"	"Hang Ning Court,"	"253-263 Shun Ning Road,"	"Sham Shui Po, Kowloon."	""	""	
"GBC 12/2016"	"ASIA ENGINEERING CONTRACTORS LIMITED"	"Room 1906, 19/F.,"	"Treasure Centre,"	"42 Hung To Road,"	"Kwun Tong, Kowloon."	""	""	
"GBC 12/2017"	"RYER CONSTRUCTION ENGINEERING LIMITED"	"Unit A4, 8/F.,"	"Chou Chong Commercial Building,"	"422-428 Castle Peak Road,"	"Cheung Sha Wan, Kowloon."	""	""	
"GBC 12/98"	"Broadway Engineering Co."	""	""	""	""	""	""	
"GBC 12/99"	"Wing Tung On Construction Co., Ltd."	"16th Floor,"	"Far East Consortium Building,"	"121 Des Voeux Road Central,"	"Hong Kong."	""	""	
"GBC 120/98"	"KINLEY-CHAO CONSTRUCTION CO LTD"	"2/F.,"	"Park Hovan Commercial Building,"	"18 Hillwood Road,"	"Tsim Sha Tsui, Kowloon."	""	""	
"GBC 120/99"	"LEIGHTON CONTRACTORS (ASIA) LTD"	"39/F.,"	"Sun Hung Kai Centre,"	"30 Harbour Road,"	"Wan Chai, Hong Kong."	""	""	
"GBC 121/98"	"JADEX CONTRACTING LIMITED"	"Room 1502, 15th Floor,"	"Hewlett Centre,"	"52-54 Hoi Yuen Road,"	"Kwun Tong, Kowloon."	""	""	
"GBC 121/99"	"HONG KONG MACAU (ASIA) ENGINEERING COMPANY LIMITED"	"Shop A, G/F.,"	"193-195 Tong Mi Road,"	"Mong Kok, Kowloon."	""	""	""	
"GBC 122/98"	"Hudson Construction Ltd."	"19th Floor,"	"118 Connaught Road West,"	"Hong Kong."	""	""	""	
"GBC 122/99"	"Shun Cheong Construction Co., Ltd."	"118 Ma Yau Tong Village,"	"Po Lam Road,"	"Hang Hau, Sai Kung,"	"N.t, Hong Kong."	""	""	
"GBC 123/98"	"Gwen Construction & Engineering Co., Ltd."	"Flat A15, 16th Floor, Block A,"	"Kailey Industrial Centre,"	"12 Fung Yip Street,"	"Chai Wan, Hong Kong."	""	""	
"GBC 123/99"	"Builders Federal (Hong Kong) Ltd"	"5 Dai Fu Street,"	"Tai Po Industrial Estate,"	"Tai Po,"	"New Territories."	""	""	
"GBC 124/98"	"REGENT CONSTRUCTION COMPANY"	"Flat 713,"	"International Plaza,"	"20 Sheung Yuet Road,"	"Kowloon Bay, Kowloon."	""	""	
"GBC 124/99"	"GAMMON BUILDING CONSTRUCTION LIMITED"	"28/F.,"	"Devon House, Taikoo Place,"	"979 King's Road,"	"Hong Kong."	""	""	
"GBC 125/99"	"CHEVALIER CONSTRUCTION (HONG KONG) LIMITED"	"6/F.,"	"Chevalier Engineering Service Centre,"	"21 Sheung Yuet Road,"	"Kowloon Bay, Kowloon."	""	""	
"GBC 126/98"	"GOOD CASTLE CONSTRUCTION LIMITED"	"Room 706, 7/F.,"	"Peninsula Centre,"	"67 Mody Road,"	"Tsim Sha Tsui East, Kowloon."	""	""	
"GBC 126/99"	"CHEVALIER (CONSTRUCTION) COMPANY LIMITED"	"6/F.,"	"Chevalier Engineering Service Centre,"	"21 Sheung Yuet Road,"	"Kowloon Bay, Kowloon."	""	""	
"GBC 127/98"	"Glory Field Technology Ltd."	"4th Floor,"	"Concord Commercial  Building,"	"155-157 King's Road"	"North Point, Hong Kong."	""	""	
"GBC 127/99"	"Full Land Engineering Ltd."	"2nd Floor,"	"Hundred City Centre,"	"7-17 Amoy Street,"	"Wan Chai, Hong Kong."	""	""	
"GBC 128/98"	"Build Tech Engineering Ltd"	"28th Floor"	"Wyndham Place"	"44 Wyndham Street"	"Central, Hong Kong"	""	""	
"GBC 128/99"	"Fong On Construction & Engineering Company Limited"	"1st Floor"	"Vulcan House"	"21-23 Leighton Road"	"Causeway Bay, Hong Kong"	""	""	
"GBC 129/98"	"Chan Wing Kee Building Contractors"	"1/f., Fortune Eagle Mansion,"	"21 Sam Pan Street,"	"Wan Chai,"	"Hong Kong."	""	""	
"GBC 129/99"	"King Wah (H.k.) Construction Co., Ltd."	""	""	""	""	""	""	
"GBC 13/2000"	"TRIBUILD ENGINEERING COMPANY LIMITED"	"Room B-1, 7/F.,"	"Fuk Tsun Factory Building,"	"68 Fuk Tsun Street,"	"Kowloon."	""	""	
"GBC 13/2001"	"Live Construction Limited"	"Unit 1228a, 12thfloor,"	"Star House"	"3 Salisbury Road,"	"Tsim Sha Tsui, Kowloon."	""	""	
"GBC 13/2002"	"Yan Kee Construction Company Limited"	"2nd Floor"	"Kyoei Commercial Building"	"3 Hillwood Road"	"Kowloon"	""	""	
"GBC 13/2003"	"FAIRMAX ENGINEERING LIMITED"	"Room 2309,"	"New Tech Plaza,"	"34 Tai Yau Street,"	"San Po Kong, Kowloon."	""	""	
"GBC 13/2004"	"T & L Construction Limited"	"Flat I, 2nd Floor,"	"Valiant Industrial Centre,"	"2-12 Au Pui Wan Street,"	"Fotan, Shatin"	"New Territories"	""	
"GBC 13/2005"	"PACO CONSTRUCTION ENGINEERING LIMITED"	"Flat 905, 9/F.,"	"New Trend Centre,"	"104 King Fuk Street,"	"San Po Kong, Kowloon."	""	""	
"GBC 13/2006"	"UNIVERSAL HOUSING CONSTRUCTION ENGINEERING LIMITED"	"Room 609, Block B, 6/F.,"	"Merit Industrial Centre,"	"94 Tokwawan Road,"	"Kowloon."	""	""	
"GBC 13/2007"	"CHINA ZHEJIANG CONSTRUCTION GROUP (H.K.) LIMITED"	"Unit 3-16, 32/F.,"	"Standard Chartered Tower of"	"Millennium City 1,"	"388 Kwun Tong Road,"	"Kwun Tong, Kowloon."	""	
"GBC 13/2008"	"FINGERSTONES ENGINEERING LIMITED"	"Flat 1, 17/F.,"	"Kwong Fat Commerical Building,"	"582-588 Canton Road,"	"Yaumatei, Kowloon."	""	""	
"GBC 13/2009"	"KINGLINE CONTRACTS COMPANY LIMITED"	"Unit 409, Conic Investment Building,"	"13 Hok Yuen Street,"	"Hung Hom, Kowloon."	""	""	""	
"GBC 13/2010"	"BUDA PIPE REHABILITATION & ENGINEERING CO. LIMITED"	"Flat 211-212, Favor Industrial Centre,"	"2-6 Kin Hong Street,"	"Kwai Chung, New Territories."	""	""	""	
"GBC 13/2011"	"C.Y. Construction Company Limited"	"Block C, 9th Floor,"	"National Court,"	"240 Nathan Road,"	"Kowloon."	""	""	
"GBC 13/2012"	"KUAN SHING ENGINEERING COMPANY LIMITED"	"Flat B, 8/F.,"	"Gem Fair Commercial Building,"	"555-557 Canton Road, Jordan,"	"Kowloon, Hong Kong."	""	""	
"GBC 13/2013"	"CS DESIGN AND CONSTRUCTION LIMITED"	"Unit 1, 8/F.,"	"Trendy Centre,"	"682 Castle Peak Road,"	"Lai Chi Kok, Kowloon."	""	""	
"GBC 13/2014"	"AGGRESSIVE ENGINEERING LIMITED"	"23/F., Midas Plaza,"	"1 Tai Yau Street,"	"San Po Kong, Kowloon."	""	""	""	
"GBC 13/2015"	"WIN SUCCESS ENGINEERING LIMITED"	"Unit H, 11/F.,"	"Phase 2, Kingsford Industrial Building,"	"No. 26-32 Kwai Hei Street,"	"Kwai Chung, New Territories."	""	""	
"GBC 13/2016"	"TONG SEK KEE LIMITED"	"Flat A, 11/F.,"	"Mercantile House,"	"188 Nathan Road,"	"Tsim Sha Tsui, Kowloon."	""	""	
"GBC 13/2017"	"RISEWAY CONSTRUCTION ENGINEERING LIMITED"	"Unit 1, 19/F.,"	"Westley Square,"	"48 Hoi Yuen Road,"	"Kowloon."	""	""	
"GBC 13/98"	"Kenful Engineering Limited"	"22nd Floor, Flat A,"	"Shui Sum Industrial Building,"	"8-10 Kwai Sau Road,"	"Kwai Chung, New Territories."	""	""	
"GBC 13/99"	"ELE CONSTRUCTION COMPANY LIMITED"	"Flat A, 26/F.,"	"Yan's Tower,"	"27 Wong Chuk Hang Road,"	"Hong Kong."	""	""	
"GBC 130/98"	"Shanghai Construction (Group) General Corporation"	"19th Floor,"	"Kwan Chart Tower,"	"6 Tonnochy Road,"	"Wan Chai, Hong Kong."	""	""	
"GBC 130/99"	"Kwong Kee Construction & Decoration Co."	"Ground Floor,"	"19 Mcgregor Street,"	"Wan Chai, Hong Kong."	""	""	""	
"GBC 131/98"	"ABLE ENGINEERING COMPANY LIMITED"	"155 Waterloo Road,"	"Kowloon Tong, Kowloon."	""	""	""	""	
"GBC 131/99"	"Yuen Cheong & Co"	"Room 01, 28th Floor,"	"New Tech Plaza,"	"34 Tai Yau Street,"	"San Po Kong, Kowloon."	""	""	
"GBC 132/98"	"Sharp Engineering Co."	""	""	""	""	""	""	
"GBC 132/99"	"Kwong Yuen Construction Co., Ltd."	"21st Floor,"	"S U P Tower,"	"83 King's Road,"	"North Point, Hong Kong."	""	""	
"GBC 133/98"	"Fortune Construction Co."	""	""	""	""	""	""	
"GBC 133/99"	"SUNNIC ENGINEERING LIMITED"	"Room 601,"	"Exchange Tower,"	"33 Wang Chiu Road,"	"Kowloon Bay, Kowloon."	""	""	
"GBC 134/98"	"KADER ENGINEERING CO LIMITED"	"Flat C, 8/F.,"	"Welley Building,"	"97 Wellington Street,"	"Central, Hong Kong."	""	""	
"GBC 134/99"	"BESTRICH ENGINEERING LIMITED"	"Room 11-12, 13/F.,"	"CEO Tower,"	"77 Wing Hong Street,"	"Cheung Sha Wan, Kowloon."	""	""	
"GBC 135/95"	"Adrian Engineering Ltd."	""	""	""	""	""	""	
"GBC 135/98"	"Hop Lee Construction Co"	"Workshop No. 13, 4th Floor, Block A2,"	"Yau Tong Industrial City,"	"17 Ko Fai Road,"	"Yau Tong,"	"Kowloon."	""	
"GBC 135/99"	"KWAN CHEONG CONSTRUCTION CO"	"Room 504, 5/F.,"	"Kwong Fat Commercial Building,"	"582-588 Canton Road,"	"Kowloon."	""	""	
"GBC 136/98"	"Merry Shine Ltd."	""	""	""	""	""	""	
"GBC 136/99"	"DRAGAGES HONG KONG LIMITED"	"3/F., Island Place Tower,"	"510 King's Road,"	"North Point, Hong Kong."	""	""	""	
"GBC 137/98"	"Shun King Construction Engineering Co."	"Unit 12, 11th Floor,"	"Thriving Industrial Centre,"	"26-38 Sha Tsui Road,"	"Tsuen Wan, New Territories."	""	""	
"GBC 137/99"	"MING HING TAI CONSTRUCTION LIMITED"	"Unit 1, 22/F.,"	"New Trend Centre,"	"704 Prince Edward Road East,"	"Kowloon."	""	""	
"GBC 138/98"	"GAMMON CONSTRUCTION LIMITED"	"28/F., Devon House,"	"Taikoo Place,"	"979 King's Road,"	"Quarry Bay, Hong Kong."	""	""	
"GBC 138/99"	"Fu Hing Construction Company Limited"	"Room 601"	"Tung Ming Building"	"40-42 Des Voeux Road Central"	"Hong Kong"	""	""	
"GBC 139/98"	"Mansion Construction Co., Ltd."	""	""	""	""	""	""	
"GBC 139/99"	"SHUN YIP CONSTRUCTION CO LTD"	"Room A-D, 3/F.,"	"Singwa Commercial Building,"	"26-32 Parkes Street,"	"Jordan, Kowloon."	""	""	
"GBC 14/2000"	"Samake Construction Company Limited"	"Room 1006, Block A, 10/F.,"	"Alexandra Industrial Centre,"	"1064-1066 Tung Chau West Street,"	"Lai Chi Kok, Kowloon."	""	""	
"GBC 14/2001"	"Toplite Development Ltd."	"Room 1202, 12/f.,"	"Henan Building,"	"90-92 Jaffe Road,"	"Wanchai, Hong Kong."	""	""	
"GBC 14/2002"	"Sui Wo Construction Co."	"1/f., Tak Shing Building"	"94b Java Road"	"North Point"	"Hong Kong"	""	""	
"GBC 14/2003"	"Chi Fu Construction Engineering Ltd."	"Flat A9, 4th Floor,"	"Lee King Industrial Building,"	"12 Ng Fong Street,"	"San Po Kong, Kowloon."	""	""	
"GBC 14/2004"	"Sun Rise Consultancy And Construction Co."	"Flat E, Blk 2, 27/f"	"Sceneway Garden"	"Lam Tim"	"Kl"	""	""	
"GBC 14/2005"	"CK & G Contracting Company"	"Unit 11, 9th Floor,"	"Ricky Centre,"	"36 Chong Yip Street,"	"Kwun Tong, Kowloon."	""	""	
"GBC 14/2006"	"Parks Engineering Limited"	"Unit 3, 11th Floor"	"8 Wing Hing Street"	"Causeway Bay"	"Hong Kong"	""	""	
"GBC 14/2007"	"Shun Sun Construction Company"	"Room B&c, 8th Floor,"	"Chow Shing Kee Commercial Building,"	"25 Tong Mi Road,"	"Kowloon."	""	""	
"GBC 14/2008"	"ASIAN DELIGHT CIVIL & BUILDING WORKS LIMITED"	"11/F.,"	"Kundamal House,"	"2-4 Prat Avenue,"	"Tsim Sha Tsui,"	"Kowloon."	""	
"GBC 14/2009"	"SUN FAI CONSTRUCTION ENGINEERING ENTERPRISE LIMITED"	"Flat E, 14/F.,"	"Century Industrial Building,"	"1 Tsing Yeung Circuit,"	"Tuen Mun, New Territories."	""	""	
"GBC 14/2010"	"ASCENT CONSTRUCTION ENGINEERING LIMITED"	"4/F., Ngai Wong Commercial Building,"	"11-13 Mongkok Road,"	"Mongkok, Kowloon."	""	""	""	
"GBC 14/2011"	"VESTA ENGINEERING AND CONSULTING LIMITED"	"Flat D, 9/F.,"	"Yip Win Factory Building,"	"10 Tsun Yip Lane,"	"Kwun Tong, Kowloon."	""	""	
"GBC 14/2012"	"OBAYASHI CORPORATION"	"Office J2, 16/F.,"	"MG Tower, No.133 Hoi Bun Road,"	"Kwun Tong, Kowloon,"	"Hong Kong."	""	""	
"GBC 14/2013"	"BLOOM CONSTRUCTION ENGINEERING LIMITED"	"Room 4003, 40/F.,"	"Hong Kong Plaza,"	"188 Connaught Road West,"	"Hong Kong."	""	""	
"GBC 14/2014"	"GOLDEN RESOURCES ENGINEERING LIMITED"	"Room 16, 2/F.,"	"Trans Asia Centre,"	"18 Kin Hong Street,"	"Kwai Chung, New Territories."	""	""	
"GBC 14/2015"	"SHINE TEAM CONSTRUCTION CO. LIMITED"	"Flat B, 7/F.,"	"Great Wall Factory Building,"	"11 Cheung Shun Street,"	"Cheung Sha Wan, Kowloon."	""	""	
"GBC 14/2016"	"WELLCON CONSTRUCTION LIMITED"	"Unit 828, 8/F.,"	"Topsail Plaza,"	"11 On Sum Street,"	"Shatin, New Territories."	""	""	
"GBC 14/2017"	"CITY CONSTRUCTION ENGINEERING LIMITED"	"Flat F, 6/F.,"	"Effort Industrial Building,"	"2-8 Kung Yip Street,"	"Kwai Chung, New Territiories."	""	""	
"GBC 14/98"	"Fineway Engineering Ltd"	"Flat 18, 4th Floor,"	"World-wide Industrial Centre,"	"43-47 Shan Mei Street,"	"Fo Tan, New Territories."	""	""	
"GBC 14/99"	"HIP HING BUILDERS COMPANY LIMITED"	"11/F.,"	"Chevalier Commercial Centre,"	"8 Wang Hoi Road,"	"Kowloon Bay, Kowloon."	""	""	
"GBC 140/98"	"HANKI CONTRACTORS (HONG KONG) & ASSOCIATES LIMITED"	"Flat L, 16/F.,"	"Universal Industrial Centre,"	"19-21 Shan Mei Street,"	"Fo Tan, Shatin,"	"New Territories."	""	
"GBC 140/99"	"DAO KEE CONSTRUCTION CO LTD"	"Rooms 504-506, 5/F.,"	"Hua Qin International Building,"	"340 Queen's Road,"	"Central, Hong Kong."	""	""	
"GBC 141/97"	"C K Chik Ltd"	""	""	""	""	""	""	
"GBC 141/98"	"CHUN YIP CONSTRUCTION CO LTD"	"23/F., Nan Fung Tower,"	"88 Connaught Road C &"	"173 Des Voeux Road C,"	"Central, Hong Kong."	""	""	
"GBC 141/99"	"Pionic Unit Construction Company Limited"	"Unit 1203-1213, 12th Floor,"	"China Merchants Tower,"	"Shun Tak Centre,"	"168-200 Connaught Road Central,"	"Hong Kong."	""	
"GBC 142/97"	"Yung Kong Contractors Ltd"	""	""	""	""	""	""	
"GBC 142/98"	"CHUN FUNG CONSTRUCTION LIMITED"	"Unit G, 19/F.,"	"Seabright Plaza,"	"9-23 Shell Street,"	"North Point, Hong Kong."	""	""	
"GBC 142/99"	"Manchester Construction Limited"	"Unit 5, 11th Floor,"	"Hopeful Factory Centre,"	"No. 10-16  Wo Shing Street,"	"Fo Tan, New Territories."	""	""	
"GBC 143/97"	"YUE YAU ENGINEERING LIMITED"	"Flat A, 17/F.,"	"Silvercorp International Tower,"	"707-713 Nathan Road,"	"Mongkok, Kowloon."	""	""	
"GBC 143/98"	"Yat Hing Construction Co., Ltd."	"Flat A, 17th Floor.,"	"Toi Shan Centre."	"128 Johnston Road,"	"Wan Chai, Hong Kong."	""	""	
"GBC 143/99"	"Hoover Construction Co Ltd"	"Flat 1701, Glenealy Tower,"	"1 Glenealy,"	"Central, Hong Kong"	""	""	""	
"GBC 144/97"	"Grand View Construction Ltd"	""	""	""	""	""	""	
"GBC 144/98"	"Prosperity Construction And Decoration Ltd."	"Unit B, 6th Floor,"	"Chinaweal Centre,"	"414-424, Jaffe Road,"	"Wanchai, Hong Kong,"	""	""	
"GBC 144/99"	"Boldwin Construction Co., Ltd."	"2nd Floor,"	"Nathan Tower,"	"518 Nathan Road,"	"Kowloon."	""	""	
"GBC 145/97"	"Hendale Construction Ltd."	"Flats 402-404, 4th Floor"	"Tak Cheong Commercial Building"	"215 Portland Street,"	"Mong Kok, Kowloon."	""	""	
"GBC 145/98"	"HINTAK CONSTRUCTION COMPANY LIMITED"	"Room 1909,"	"Westley Square,"	"48 Hoi Yuen Road,"	"Kwun Tong, Kowloon."	""	""	
"GBC 145/99"	"Shimizu Hong Kong Co Ltd"	"Room 1905-1909,"	"Ever Gain Plaza, Tower I,"	"88 Container Port Road,"	"Kwai Chung, New Territories."	""	""	
"GBC 146/97"	"Hop Fung Engineering Co."	""	""	""	""	""	""	
"GBC 146/98"	"BORDON CONSTRUCTION CO LTD"	"23/F., Nan Fung Tower,"	"88 Connaught Road C &"	"173 Des Voeux Road C,"	"Central, Hong Kong."	""	""	
"GBC 146/99"	"EXCEL ENGINEERING COMPANY LIMITED"	"155 Waterloo Road,"	"Kowloon Tong,"	"Kowloon."	""	""	""	
"GBC 147/97"	"Masterbuild International Ltd."	"Room 1905 Wealth Commercial Centre"	"48 Kwong Wa  Street"	"Mongkok"	"Kowloon"	""	""	
"GBC 147/98"	"Jetway Engineering Ltd."	""	""	""	""	""	""	
"GBC 147/99"	"Baron Contractors Limited"	"Room 1202,"	"The Centrium,"	"60 Wyndham Street,"	"Central, Hong Kong."	""	""	
"GBC 148/97"	"Po On Construction Crystal Treasure Ltd"	"Flat 6-10, 8/f., Boss Commercial Centre,"	"28 Ferry Street, Kowloon."	""	""	""	""	
"GBC 148/98"	"Sung Kay Interior Decoration Co."	"Flat B, 1st Floor,"	"Lee Tat House,"	"57-61 Belcher's Street,"	"Kennedy Town, Hong Kong."	""	""	
"GBC 148/99"	"Winbase Engineering Ltd."	"Room 8, 2nd Floor,"	"Golden Mansion,"	"44-56 Bulkeley Street,"	"Hung Hom, Kowloon."	""	""	
"GBC 149/97"	"Thomson Construction Co."	""	""	""	""	""	""	
"GBC 149/98"	"Chung Tat Building Construction Co., Ltd."	"Room E, 23th Floor"	"Seabright Plaza,"	"9-23 Shell Street,"	"Norh Point, Hong Kong"	""	""	
"GBC 149/99"	"WIN HOUSE INDUSTRIES LIMITED"	"25/F.,"	"Kerry Centre,"	"683 King's Road,"	"Quarry Bay, Hong Kong."	""	""	
"GBC 15/2000"	"Costain Building & Civil Engineering Ltd."	"2309 China Resources Building"	"26 Harbour Road,"	"Wanchai,"	"Hong Kong."	""	""	
"GBC 15/2001"	"China Geo-engineering Corporation"	"Room 2421-25, 24th Floor,"	"Sun Hung Kai Centre,"	"30 Harbour Road,"	"Wanchai, Hong Kong."	""	""	
"GBC 15/2002"	"Tak Cheong (Man Kee) Construction Co"	"Room 1110, 11th Floor,"	"Hing Wah Centre,"	"82-84 Tokwawan Road,"	"Kowloon."	""	""	
"GBC 15/2003"	"SANFIELD ENGINEERING CONSTRUCTION LIMITED"	"44/F.,"	"Sun Hung Kai Centre,"	"30 Harbour Road,"	"Wanchai, Hong Kong."	""	""	
"GBC 15/2004"	"SING LEE ENGINEERING LIMITED"	"Flat A1806, 18/F.,"	"Sunrise Industrial Building,"	"10 Hong Man Street,"	"Chai Wan, Hong Kong."	""	""	
"GBC 15/2005"	"Kin Yip Hong Construction Engineering Limited"	"Ground Floor,"	"395 Queen's Road West,"	"Hong Kong."	""	""	""	
"GBC 15/2006"	"CHUN WO ELEGANT DECORATION ENGINEERING COMPANY LIMITED"	"C2, 5/F., Phase 1,"	"Hong Kong Spinners Industrial Building,"	"601-603 Tai Nan West Street,"	"Cheung Sha Wan, Kowloon."	""	""	
"GBC 15/2007"	"GRANBO CONSTRUCTION COMPANY LIMITED"	"29/F., AIA Tower,"	"183 Eletric Road,"	"North Point, Hong Kong."	""	""	""	
"GBC 15/2008"	"CHARTER CONSTRUCTION CO. LIMITED"	"8/F., Argyle House,"	"49A Argyle Street,"	"Mongkok, Kowloon."	""	""	""	
"GBC 15/2009"	"Mega Miles Construction Company Limited"	"Room B, 18/F.,"	"Wah Hen Commercial Centre,"	"383 Hennessy Road,"	"Wan Chai, Hong Kong"	""	""	
"GBC 15/2010"	"KIN SUM CONSTRUCTION COMPANY LIMITED"	"Room 2A, 2nd Floor,"	"Kin Ga Industrial Building,"	"9 San On Street,"	"Tuen Mun, New Territories."	""	""	
"GBC 15/2011"	"Glory Fair Engineering Limited"	"Flat 2, 4/F.,"	"Winning Commercial Building,"	"46 & 48 Hillwood Road,"	"Tsim Sha Tsui, Kowloon."	""	""	
"GBC 15/2012"	"CHAP SHING INDUSTRIAL CO. LIMITED"	"Workshop D3, 15/F.,"	"TML Tower,"	"3 Hoi Shing Road,"	"Tsuen Wan, New Territories."	""	""	
"GBC 15/2013"	"BUILDPRO CONSTRUCTION LIMITED"	"Unit A-608, 6/F.,"	"Wah Shing Industrial Building,"	"18 Cheung Shun Street,"	"Cheung Sha Wan, Kowloon."	""	""	
"GBC 15/2014"	"MCC OVERSEAS HK LIMITED"	"Room 3202-03, 32/F.,"	"Office Tower Convention Plaza,"	"1 Harbour road,"	"Wanchai, Hong Kong."	""	""	
"GBC 15/2015"	"LANON BUILDING LIMITED"	"157 Waterloo Road,"	"Kowloon Tong,"	"Kowloon."	""	""	""	
"GBC 15/2016"	"WALLY CONSTRUCTION & ENGINEERING LIMITED"	"Unit 1101, 11/F., Tower 1,"	"Cheung Sha Wan Plaza,"	"833 Cheung Sha Wan Road,"	"Lai Chi Kok, Kowloon."	""	""	
"GBC 15/2017"	"MEPORK SERVICES LIMITED"	"19/F.,"	"China Overseas Building,"	"139 Hennessy Road,"	"Wan Chai, Hong Kong."	""	""	
"GBC 15/98"	"Geotech Surveys & Engineering Ltd."	""	""	""	""	""	""	
"GBC 15/99"	"Wing Bo Building Construction Co., Limited"	"1st Floor,"	"Kwai Wing Building,"	"175 Hennessy Road,"	"Wanchai,"	"Kowloon."	""	
"GBC 150/98"	"Artistic Design Workshop Ltd."	"Room E2, 14th Floor,"	"Hoi Bun Industrial Building,"	"6 Wing Yip Street,"	"Kwun Tong, Kowloon."	""	""	
"GBC 150/99"	"Hong Kong Construction (Hong Kong) Limited"	"9th Floor, Tower 1,"	"South Seas Centre,"	"75 Mody Road,"	"Tsim Sha Tsui East,"	"Kowloon."	""	
"GBC 151/98"	"YU HSIN CONSTRUCTION CO LTD"	"Room 2205, 22/F.,"	"Arion Commercial Centre,"	"2-12 Queen's Road West,"	"Hong Kong."	""	""	
"GBC 151/99"	"Kwong Key Construction And Engineering Ltd"	"Unit 1902, 19th Floor,"	"Wealth Commercial Centre,"	"42 Kwong Wa Street,"	"Mongkok,"	"Kowloon."	""	
